EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Manufacture of ceramic goods,C,23.49,C23.49,Manufacture of other ceramic products,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2393
Manufacture of ceramic goods,C,23.44,C23.44,Manufacture of other technical ceramic products,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2393
Manufacture of ceramic goods,C,23.2,C23.20,Manufacture of refractory products,Manufacture of refractory products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239,C_23_239_2391
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,26.7,C26.70,Manufacture of optical instruments and photographic equipment,Manufacture of optical instruments and photographic equipment,Manufacture of optical instruments and photographic equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_267,C_26_267_2670
Chemicals nec,C,20.53,C20.53,Manufacture of essential oils,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2029
Chemicals nec,C,20.51,C20.51,Manufacture of explosives,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2029
Chemicals nec,C,20.52,C20.52,Manufacture of glues,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2029
Chemicals nec,C,20.59,C20.59,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2029
Chemicals nec,C,20.3,C20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2022
Chemicals nec,C,20.2,C20.20,Manufacture of pesticides and other agrochemical products,Manufacture of pesticides and other agrochemical products,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2021
Chemicals nec,C,20.42,C20.42,Manufacture of perfumes and toilet preparations,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202,C_20_202_2023
Manufacture of electrical machinery and apparatus n.e.c. (31),C,27.9,C27.90,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of electrical equipment,Manufacturing,C_27_279,C_27_279_2790
"Manufacture of radio, television and communication equipment and apparatus (32)",C,27.9,C27.90,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of electrical equipment,Manufacturing,C_27_279,C_27_279_2790
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.5,C25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2591
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.71,C25.71,Manufacture of cutlery,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2593
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.72,C25.72,Manufacture of locks and hinges,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2593
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.73,C25.73,Manufacture of tools,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2593
Manufacture of machinery and equipment n.e.c. (29),C,25.73,C25.73,Manufacture of tools,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2593
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.94,C25.94,Manufacture of fasteners and screw machine products,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.92,C25.92,Manufacture of light metal packaging,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.99,C25.99,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.91,C25.91,Manufacture of steel drums and similar containers,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.93,C25.93,"Manufacture of wire products, chain and springs",Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.62,C25.62,Machining,Treatment and coating of metals; machining,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2592
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,25.61,C25.61,Treatment and coating of metals,Treatment and coating of metals; machining,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259,C_25_259_2592
Processing of Food products nec,C,10.71,C10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of bakery products,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1071
Processing of Food products nec,C,10.72,C10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of bakery products,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1071
Processing of Food products nec,C,10.82,C10.82,"Manufacture of cocoa, chocolate and sugar confectionery","Manufacture of cocoa, chocolate and sugar confectionery",Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1073
Processing of Food products nec,C,10.73,C10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Manufacture of macaroni, noodles, couscous and similar farinaceous products",Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1074
Processing of Food products nec,C,10.84,C10.84,Manufacture of condiments and seasonings,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1079
Processing of Food products nec,C,10.86,C10.86,Manufacture of homogenised food preparations and dietetic food,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1079
Processing of Food products nec,C,10.89,C10.89,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1079
Processing of Food products nec,C,10.83,C10.83,Processing of tea and coffee,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1079
Processing of Food products nec,C,10.85,C10.85,Manufacture of prepared meals and dishes,Manufacture of prepared meals and dishes,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1075
Sugar refining,C,10.81,C10.81,Manufacture of sugar,Manufacture of sugar,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107,C_10_107_1072
Manufacture of textiles (17),C,13.93,C13.93,Manufacture of carpets and rugs,Manufacture of carpets and rugs,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139,C_13_139_1393
Manufacture of textiles (17),C,13.93,C13.93,Manufacture of carpets and rugs,Manufacture of carpets and rugs,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139,C_13_139_1393
Manufacture of textiles (17),C,13.94,C13.94,"Manufacture of cordage, rope, twine and netting","Manufacture of cordage, rope, twine and netting",Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139,C_13_139_1394
Manufacture of textiles (17),C,13.91,C13.91,Manufacture of knitted and crocheted fabrics,Manufacture of knitted and crocheted fabrics,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139,C_13_139_1391
